image,yara_detected,detected_rules,is_cryptojacking
bansalniranjan/jenkins,True,Detect_TeamRedMiner,True
baluu/gcc,True,Detect_TeamRedMiner,True
baptilin/centos,True,Detect_TeamRedMiner,True
baranky1905/postgres,True,Detect_TeamRedMiner,True
bartasondra/jenkins,True,Detect_TeamRedMiner,True
baseimg/ubuntu,True,Detect_TeamRedMiner,True
basvdheijden/node,True,Detect_TeamRedMiner,True
bathinapullarao/centos,True,Detect_TeamRedMiner,True
bbalajinaik/centos,True,Detect_TeamRedMiner,True
bbiyak/python,True,Detect_TeamRedMiner,True
bdqnkc05001/centos,True,Detect_TeamRedMiner,True
bdqnkc06fyq/centos,True,Detect_TeamRedMiner,True
bdqnzgrkc/centos,True,Detect_TeamRedMiner,True
belnet/tomcat,True,Detect_TeamRedMiner,True
beprimetech/node,True,Detect_TeamRedMiner,True
betterweb/ubuntu,True,Detect_TeamRedMiner,True
bgmlearning/centos,True,Detect_TeamRedMiner,True
bhagyashrishete/ubuntu,True,Detect_TeamRedMiner,True
bharatibhupathiraju/centos,True,Detect_TeamRedMiner,True
bhaskardevops/centos,True,Detect_TeamRedMiner,True
bhaskaratla/centos,True,Detect_TeamRedMiner,True
bhyravreddy12/centos,True,Detect_TeamRedMiner,True
bigbihub/redis,True,Detect_TeamRedMiner,True
biciq/ruby,True,Detect_Minerd_Miner,True
biggos/centos,True,Detect_TeamRedMiner,True
billelison/centos,True,Detect_TeamRedMiner,True
billierdocker/openjdk,True,Detect_TeamRedMiner,True
bimapangestu/jenkins,True,Detect_TeamRedMiner,True
bitlighthouse/centos,True,Detect_TeamRedMiner,True
bitmark/fluentd,True,Detect_TeamRedMiner,True
bitspeech/python,True,Detect_TeamRedMiner,True
blackangel200712/centos,True,Detect_TeamRedMiner,True
blrdevopstraining/centos,True,Detect_TeamRedMiner,True
blitzkrieg0000/spark,True,Detect_TeamRedMiner,True
bluemir/fedora,True,Detect_TeamRedMiner,True
blueitfuture/sonarqube,True,Detect_TeamRedMiner,True
bmdockerhub/centos,True,Detect_TeamRedMiner,True
bnnteja/node,True,Detect_TeamRedMiner,True
bmunday131/hello-world,True,"Detect_Minerd_Miner,Detect_TeamRedMiner,Detect_XMRig,Detect_ethminer",True
blub7/nextcloud,True,Detect_TeamRedMiner,True
bobbybabu007/jenkins,True,Detect_TeamRedMiner,True
bohdanmatiuk/wordpress,True,Detect_TeamRedMiner,True
borntodie/centos,True,Detect_TeamRedMiner,True
borsc/centos,True,Detect_TeamRedMiner,True
brett81/wordpress,True,Detect_TeamRedMiner,True
bronzefist/node,True,Detect_TeamRedMiner,True
brunosbrasil/tomcat,True,Detect_TeamRedMiner,True
bsalunke/python,True,Detect_TeamRedMiner,True
btcpayserver/postgres,True,Detect_TeamRedMiner,True
bugkerb/nextcloud,True,Detect_TeamRedMiner,True
buildingsalive/liquibase,True,Detect_TeamRedMiner,True
bzm01/redmine,True,Detect_TeamRedMiner,True
caijiangen/centos,True,Detect_TeamRedMiner,True
cancastilho/httpd,True,Detect_TeamRedMiner,True
canadalab/python,True,Detect_TeamRedMiner,True
caofengxindedocker/centos,True,Detect_TeamRedMiner,True
carlosrodf/jenkins,True,Detect_TeamRedMiner,True
carmine21/celery,True,Detect_TeamRedMiner,True
carryc/tomcat,True,Detect_TeamRedMiner,True
caselchen/spark,True,Detect_TeamRedMiner,True
cbaugus/wordpress,True,Detect_TeamRedMiner,True
cbrokenw/centos,True,Detect_TeamRedMiner,True
cbskt/wordpress,True,Detect_TeamRedMiner,True
cccr12/docker,True,Detect_TeamRedMiner,True
cccrtest/docker,True,Detect_TeamRedMiner,True
cccrteacher/docker,True,Detect_TeamRedMiner,True
ccmbgdocker/php,True,Detect_TeamRedMiner,True
cdhowie/rocket.chat,True,Detect_XMRig,True
