image,yara_detected,detected_rules,is_cryptojacking
1150102585/golang,False,,False
1150102585/mysql,False,,False
1150102585/nginx,False,,False
1150102585/php,False,,False
1150399283/python,False,,False
11521380/httpd,False,,False
1141620616/centos,True,Detect_TeamRedMiner,True
1153532327/mysql,False,,False
1155109206/spark,False,,False
1155127553/spark,False,,False
1155125480/spark,False,,False
1155166603/spark,False,,False
11568134/hello-world,False,,False
11554787/centos,False,,False
1155220/busybox,False,,False
1157532877/centos,False,,False
1158487930/hello-world,False,,False
1160234/tomcat,False,,False
1158902151/php,False,,False
1160809039/elasticsearch,False,,False
1160236898/docker,False,,False
11604879/alpine,False,,False
1160817999/elasticsearch,False,,False
116318116318/mariadb,False,,False
1160817999/kibana,False,,False
1161436882/redis,False,,False
1163970464/hello-world,False,,False
1163582076/httpd,False,,False
1163926316/ubuntu,False,,False
1169248785/centos,False,,False
1167206/mariadb,False,,False
1169974414/centos,False,,False
1170300/mysql,False,,False
1170300/phpmyadmin,False,,False
1169974414/registry,False,,False
1171546435/centos,False,,False
11715938/alpine,False,,False
1171788779/tomcat,False,,False
1174601212/hello-world,False,,False
11720623/phpmyadmin,False,,False
11721206/python,False,,False
117503445/elasticsearch,False,,False
1174601212/python,False,,False
1176693506/centos,False,,False
1178493925/erlang,False,,False
1178493925/mysql,False,,False
1178493925/redis,False,,False
1178493925/nginx,False,,False
1178493925/tomcat,False,,False
1178493925/traefik,False,,False
1178493925/zookeeper,False,,False
1179325921/jenkins,False,,False
1180412/tomcat,False,,False
1179325921/maven,False,,False
1181120299/redis,False,,False
1181817292/python,False,,False
1181991/haproxy,False,,False
1182349142/spark,False,,False
1183971128/busybox,False,,False
1183992583/centos,False,,False
1184697601/kibana,False,,False
1184981/httpd,False,,False
1185322/python,False,,False
1186008317/alpine,False,,False
1185829343/tomcat,False,,False
1187655234/redis,False,,False
1187531631/jenkins,False,,False
1187655234/centos,False,,False
1187655234/storm,False,,False
1187984211/busybox,False,,False
1187984211/jenkins,False,,False
1187984211/nginx,False,,False
1187984211/centos,False,,False
1187984211/registry,False,,False
1189137/redis,False,,False
11900112r/mariadb,False,,False
119060321024/java,False,,False
1191095/tomcat,False,,False
1193292553/mongo,False,,False
11952/httpd,False,,False
1191161084/alpine,False,,False
1195494025/node,False,,False
1195559311/tomcat,False,,False
1195711989/consul,False,,False
1197168698/tomcat,False,,False
1197358014/busybox,False,,False
11david11/bash,False,,False
1198143315/busybox,False,,False
11bitstudios/fluentd,False,,False
11expose11/alpine,False,,False
11expose11/consul,False,,False
11expose11/kong,False,,False
11expose11/openjdk,False,,False
11ju22/wordpress,False,,False
11expose11/postgres,False,,False
11l11l11/pypy,False,,False
11harshsharma/alpine,False,,False
11nehas/mariadb,False,,False
11nehas/mediawiki,False,,False
11me/python,False,,False
11me/redis,False,,False
11notes/alpine,False,,False
11notes/influxdb,False,,False
11notes/node,False,,False
11notes/postgres,False,,False
11quelhas11/django,False,,False
11notes/redis,False,,False
11notes/telegraf,False,,False
11notes/traefik,False,,False
11srikan/nginx,False,,False
11thbackend/nginx,False,,False
11vv/mongo,False,,False
1200188/jenkins,False,,False
11zzard/postgres,False,,False
12010712/registry,False,,False
12012430/registry,False,,False
120137550/alpine,False,,False
1201416/rabbitmq,False,,False
1201774isep/jenkins,False,,False
1201761/node,False,,False
12032481/hello-world,False,,False
1201abhi/maven,False,,False
120372033/hello-world,False,,False
1200880/redis,False,,False
12042000sdd/python,False,,False
1203764261/centos,False,,False
120485/mysql,False,,False
1204630629/centos,False,,False
1204729637/busybox,False,,False
120549827/caddy,False,,False
1205526615/tomcat,False,,False
1205854845unravel/mariadb,False,,False
1205854845unravel/redis,False,,False
1206/php,False,,False
1206484/redis,False,,False
1206484/tomcat,False,,False
1206484/tomee,False,,False
1207778252/influxdb,False,,False
12081990/node,False,,False
120677982/busybox,False,,False
1207200000/vault,False,,False
12091985/hello-world,False,,False
120889/mysql,False,,False
120889/wordpress,False,,False
1209233066/debian,False,,False
1209233066/jenkins,False,,False
1209233066/mariadb,False,,False
1209233066/python,False,,False
1209233066/tomcat,False,,False
120956/fluentd,False,,False
1209233066/zookeeper,False,,False
1209k/java,False,,False
121212111111/centos,False,,False
121086/httpd,False,,False
121125mao/busybox,False,,False
1212236/httpd,False,,False
121212111111/golang,False,,False
1212236/wordpress,False,,False
12121985/hello-world,False,,False
1213018820/redis,False,,False
121313/ubuntu,False,,False
